insured_sex,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,fraud_reported,age_group,months_as_customer_groups,policy_annual_premium_groups
FEMALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,2,2,91650,N,41-45,251-300,medium
MALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,0,0,75600,Y,21-25,51-100,low
MALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,2,2,67140,Y,36-40,151-200,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3,2,3,29790,N,31-35,151-200,medium
MALE,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,1,2,77110,N,26-30,101-150,high
MALE,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,17,1,0,1,64800,N,36-40,151-200,medium
MALE,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,2,0,53100,Y,31-35,151-200,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,1,1,60200,Y,26-30,51-100,low
FEMALE,0,Parked Car,?,Minor Damage,None,16,1,1,1,5330,N,46-50,301-350,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,2,0,62300,Y,51-55,401-450,medium
MALE,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,1,0,3,60170,Y,36-40,201-250,medium
MALE,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,2,2,40000,N,26-30,51-100,medium
MALE,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,1,1,1,1,97080,Y,31-35,101-150,high
FEMALE,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,1,0,51660,Y,21-25,0-50,medium
FEMALE,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,23,1,2,2,51120,N,26-30,101-150,low
MALE,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,14,1,0,2,56400,N,41-45,251-300,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,2,3,55120,N,36-40,251-300,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,1,1,77110,N,31-35,151-200,medium
MALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,2,1,62800,Y,46-50,351-400,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,Police,5,1,2,0,7290,Y,31-35,151-200,medium
FEMALE,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,19,1,0,0,76600,Y,31-35,201-250,medium
MALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,0,3,81800,N,56-60,401-450,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,None,4,1,1,2,7260,N,26-30,51-100,medium
MALE,0,Vehicle Theft,?,Minor Damage,None,8,1,2,1,4300,N,36-40,201-250,high
FEMALE,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,7,3,1,0,70510,Y,36-40,201-250,medium
MALE,-39600,Parked Car,?,Minor Damage,Police,5,1,0,1,2640,N,36-40,201-250,medium
MALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,1,2,78900,N,26-30,0-50,medium
FEMALE,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,2,3,56430,N,56-60,451-500,medium
FEMALE,0,Parked Car,?,Minor Damage,None,19,1,1,3,2400,N,31-35,51-100,medium
MALE,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,0,1,65790,N,36-40,0-50,medium
FEMALE,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,3,1,1,62920,N,36-40,151-200,low
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,2,1,69480,Y,31-35,151-200,low
MALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,0,3,44280,N,41-45,251-300,medium
MALE,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,1,0,3,56300,N,31-35,101-150,low
MALE,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,20,3,2,2,68520,Y,41-45,201-250,high
MALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,16,3,0,0,59130,Y,41-45,301-350,high
FEMALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,6,3,2,2,82320,Y,36-40,251-300,medium
FEMALE,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,0,1,89700,Y,31-35,101-150,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,1,1,33930,N,61-65,451-500,low
MALE,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,0,3,68530,N,26-30,101-150,medium
MALE,-51500,Parked Car,?,Minor Damage,None,13,1,0,1,4300,N,46-50,351-400,medium
FEMALE,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,2,2,3,68310,Y,41-45,251-300,medium
FEMALE,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,0,2,61290,Y,41-45,201-250,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,1,2,30100,N,41-45,201-250,low
FEMALE,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,3,2,0,57120,Y,36-40,201-250,high
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,1,0,42930,Y,36-40,201-250,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,2,0,51210,Y,31-35,101-150,medium
FEMALE,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,1,1,89400,N,41-45,251-300,medium
MALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,0,2,59730,N,46-50,301-350,medium
FEMALE,-45000,Vehicle Theft,?,Minor Damage,None,15,1,2,2,8060,N,36-40,201-250,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,16,1,1,2,72200,Y,36-40,201-250,low
MALE,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,1,2,50800,N,31-35,101-150,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,None,10,1,2,1,6600,N,36-40,251-300,medium
MALE,0,Vehicle Theft,?,Minor Damage,Police,3,1,2,2,7500,N,26-30,51-100,medium
MALE,-80600,Vehicle Theft,?,Trivial Damage,None,13,1,0,3,6490,N,31-35,201-250,medium
MALE,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,2,2,3,60940,Y,46-50,251-300,low
MALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,0,1,58300,N,41-45,251-300,high
FEMALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,9,3,2,1,68400,N,31-35,151-200,low
FEMALE,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,2,1,2,1,64240,N,31-35,101-150,high
FEMALE,-78600,Parked Car,?,Trivial Damage,None,9,1,0,1,4700,N,36-40,0-50,medium
FEMALE,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,3,2,0,45120,Y,21-25,0-50,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,12,2,1,1,66950,N,26-30,101-150,medium
FEMALE,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,0,3,98340,Y,21-25,51-100,medium
MALE,0,Parked Car,?,Trivial Damage,None,9,1,0,1,5900,N,41-45,201-250,medium
FEMALE,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,1,1,70680,N,41-45,201-250,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,1,0,93720,Y,41-45,251-300,high
FEMALE,-58400,Vehicle Theft,?,Minor Damage,None,5,1,2,0,6930,Y,21-25,51-100,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,11,1,0,3,72930,Y,46-50,301-350,high
MALE,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4,4,1,2,64890,Y,21-25,0-50,medium
FEMALE,0,Parked Car,?,Trivial Damage,None,6,1,1,2,5400,N,46-50,301-350,medium
MALE,0,Vehicle Theft,?,Trivial Damage,None,10,1,0,0,5600,Y,41-45,201-250,low
FEMALE,-72300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,23,1,0,0,79300,Y,41-45,251-300,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,1,0,52800,Y,26-30,51-100,medium
FEMALE,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,2,3,28800,N,41-45,251-300,medium
FEMALE,-58100,Parked Car,?,Minor Damage,Police,3,1,1,1,2970,N,31-35,151-200,medium
MALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,0,0,93480,Y,51-55,351-400,medium
MALE,-24300,Vehicle Theft,?,Minor Damage,None,4,1,1,3,4320,N,46-50,301-350,medium
FEMALE,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,0,2,79800,Y,61-65,451-500,medium
FEMALE,-57000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,22,2,1,0,74200,Y,26-30,101-150,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,1,0,0,70590,Y,46-50,301-350,medium
FEMALE,-47500,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,3,0,3,60940,Y,31-35,51-100,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,1,1,2,74700,N,41-45,251-300,medium
MALE,-38800,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,0,0,70000,Y,56-60,451-500,medium
MALE,-41000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,12,3,2,0,81070,Y,41-45,201-250,medium
MALE,-40600,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,2,1,1,57720,N,31-35,151-200,medium
MALE,0,Vehicle Theft,?,Minor Damage,None,9,1,1,1,7080,N,51-55,401-450,medium
MALE,-56800,Multi-vehicle Collision,Side Collision,Total Loss,Other,14,3,0,1,47700,Y,46-50,251-300,medium
FEMALE,-63100,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,0,3,51260,N,31-35,101-150,medium
MALE,-36200,Multi-vehicle Collision,Side Collision,Major Damage,Police,20,3,2,2,70400,Y,41-45,201-250,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4,1,1,3,90000,N,36-40,151-200,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,0,1,72820,N,36-40,251-300,low
MALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,2,0,69300,Y,41-45,251-300,medium
FEMALE,-53700,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,2,1,76560,Y,36-40,201-250,high
FEMALE,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,7,1,0,1,55440,Y,36-40,201-250,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,0,4,1,0,77130,Y,21-25,0-50,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,1,1,42000,N,31-35,201-250,medium
MALE,-69700,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,12,3,2,3,36300,N,36-40,201-250,medium
MALE,-32100,Single Vehicle Collision,Side Collision,Total Loss,Other,8,1,0,0,40320,Y,36-40,151-200,high
FEMALE,0,Parked Car,?,Minor Damage,Police,9,1,2,0,3960,Y,31-35,151-200,medium
MALE,-47300,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,1,0,3,63840,Y,41-45,251-300,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,0,3,1,2,44730,Y,26-30,51-100,medium
MALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,0,3,1,2,84720,N,41-45,251-300,medium
MALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,3,3,2,2,61500,N,36-40,201-250,low
FEMALE,-54800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,3,0,1,51000,N,26-30,101-150,low
FEMALE,-45200,Single Vehicle Collision,Side Collision,Total Loss,Police,0,1,2,1,46800,N,31-35,0-50,high
MALE,-65600,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,1,1,1,78120,N,31-35,51-100,high
FEMALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,1,2,69200,Y,31-35,151-200,medium
FEMALE,-20400,Vehicle Theft,?,Minor Damage,Police,9,1,0,0,3690,Y,36-40,201-250,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,9,3,0,3,65500,N,26-30,101-150,medium
FEMALE,-77500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,21,3,1,2,76120,N,46-50,301-350,medium
FEMALE,-43200,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,3,0,2,73560,N,31-35,101-150,medium
MALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,2,1,0,1,52030,N,31-35,201-250,medium
MALE,-49000,Vehicle Theft,?,Trivial Damage,None,9,1,2,3,5170,N,41-45,251-300,low
MALE,-28700,Parked Car,?,Minor Damage,None,5,1,2,1,8190,N,31-35,101-150,medium
MALE,-56200,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,14,1,2,3,70800,Y,26-30,0-50,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,20,3,0,3,45630,N,31-35,101-150,medium
FEMALE,-57900,Single Vehicle Collision,Front Collision,Major Damage,Police,18,1,2,1,99320,Y,56-60,401-450,low
MALE,-57100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,2,0,64000,Y,41-45,201-250,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,21,1,1,1,47300,N,36-40,201-250,medium
MALE,-38200,Single Vehicle Collision,Rear Collision,Major Damage,Other,14,1,2,3,71680,Y,26-30,51-100,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Other,1,1,1,0,112320,Y,41-45,201-250,low
FEMALE,0,Single Vehicle Collision,Side Collision,Total Loss,Other,17,1,1,0,82720,Y,31-35,101-150,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,4,3,2,1,48060,N,41-45,301-350,medium
MALE,-44600,Multi-vehicle Collision,Rear Collision,Total Loss,Police,23,3,1,3,63570,Y,31-35,101-150,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,3,2,3,63240,N,51-55,401-450,medium
FEMALE,-44500,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,20,3,1,3,54240,Y,31-35,101-150,medium
MALE,0,Single Vehicle Collision,Front Collision,Major Damage,Police,16,1,2,3,37280,Y,46-50,351-400,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,2,1,72100,N,61-65,451-500,medium
FEMALE,0,Parked Car,?,Minor Damage,None,8,1,2,3,6500,N,56-60,401-450,medium
MALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,2,0,78240,Y,36-40,0-50,medium
FEMALE,-66900,Vehicle Theft,?,Minor Damage,Police,9,1,2,0,6200,Y,26-30,101-150,medium
FEMALE,-82400,Parked Car,?,Minor Damage,Police,0,1,2,3,6160,N,36-40,201-250,medium
FEMALE,-54000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,12,1,2,0,76050,Y,46-50,251-300,medium
FEMALE,-59100,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,20,2,2,1,86060,N,46-50,301-350,medium
FEMALE,-59300,Single Vehicle Collision,Front Collision,Major Damage,Fire,3,1,2,0,107900,Y,26-30,101-150,medium
FEMALE,-31400,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,2,0,99990,Y,31-35,101-150,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,2,2,61380,N,26-30,101-150,medium
FEMALE,-26900,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,2,1,71280,Y,26-30,0-50,high
MALE,-51100,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,18,3,0,0,64000,Y,41-45,301-350,medium
FEMALE,-50000,Parked Car,?,Trivial Damage,Police,7,1,0,1,5940,N,46-50,251-300,medium
MALE,0,Parked Car,?,Minor Damage,None,18,1,1,0,6700,Y,36-40,0-50,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,0,0,51740,Y,41-45,201-250,medium
MALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,0,1,53600,Y,26-30,101-150,medium
MALE,-59900,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,1,0,44910,Y,26-30,51-100,medium
FEMALE,-88300,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,0,2,48100,N,31-35,0-50,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,None,3,1,0,1,6100,N,41-45,301-350,medium
MALE,-41300,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,1,0,79600,Y,46-50,301-350,low
MALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,1,1,1,1,77040,N,31-35,151-200,high
FEMALE,-45100,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,0,1,62590,N,41-45,251-300,medium
FEMALE,-58900,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,0,1,85150,N,36-40,251-300,low
MALE,-31700,Vehicle Theft,?,Trivial Damage,None,1,1,2,1,4950,N,36-40,201-250,medium
MALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,3,2,0,51100,Y,36-40,51-100,high
FEMALE,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,2,3,100800,N,51-55,401-450,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,2,3,90970,N,26-30,101-150,medium
MALE,-30300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,11,1,1,1,81840,Y,26-30,51-100,medium
MALE,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,1,0,2,54900,N,46-50,301-350,medium
MALE,-51300,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,2,3,88660,Y,31-35,101-150,medium
FEMALE,-57700,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,1,1,18000,N,31-35,151-200,medium
FEMALE,-39200,Vehicle Theft,?,Minor Damage,Police,9,1,1,3,5500,N,36-40,201-250,medium
FEMALE,-67900,Multi-vehicle Collision,Rear Collision,Major Damage,Other,11,3,1,0,73920,Y,21-25,51-100,low
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,0,2,101860,N,26-30,101-150,low
MALE,0,Parked Car,?,Minor Damage,None,8,1,0,1,5390,N,56-60,451-500,medium
MALE,-57500,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,1,2,50490,N,36-40,251-300,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,0,3,55500,N,46-50,351-400,medium
MALE,-90200,Vehicle Theft,?,Minor Damage,Police,8,1,1,1,7040,N,31-35,0-50,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,3,0,1,40160,N,26-30,51-100,medium
MALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,2,3,55680,N,41-45,251-300,high
MALE,0,Vehicle Theft,?,Trivial Damage,Police,3,1,1,1,5300,Y,36-40,201-250,medium
FEMALE,0,Parked Car,?,Trivial Damage,None,6,1,0,3,5200,N,41-45,201-250,high
MALE,-32800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,17,1,2,1,59400,N,46-50,301-350,medium
FEMALE,0,Vehicle Theft,?,Minor Damage,Police,7,1,1,1,2520,N,41-45,251-300,high
MALE,0,Vehicle Theft,?,Trivial Damage,Police,9,1,2,1,5760,N,31-35,0-50,medium
MALE,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,2,0,76700,Y,46-50,351-400,high
FEMALE,0,Parked Car,?,Trivial Damage,Police,6,1,0,2,5920,N,36-40,201-250,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,3,0,3,64350,N,61-65,451-500,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,1,2,19080,N,36-40,251-300,medium
FEMALE,-34400,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,2,1,54400,N,41-45,201-250,medium
FEMALE,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,0,1,1,0,59800,Y,31-35,101-150,low
MALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,0,3,72000,N,26-30,101-150,medium
MALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,13,4,2,3,65070,N,46-50,351-400,medium
MALE,-36700,Parked Car,?,Trivial Damage,Police,8,1,0,1,8800,N,51-55,401-450,low
FEMALE,0,Vehicle Theft,?,Minor Damage,Police,7,1,2,0,6120,Y,21-25,51-100,high
MALE,0,Vehicle Theft,?,Trivial Damage,None,9,1,1,2,7080,N,36-40,201-250,medium
MALE,-31400,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,12,3,2,3,34320,N,46-50,301-350,high
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,1,0,53460,Y,36-40,0-50,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,1,3,81360,Y,31-35,101-150,medium
MALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,5,3,1,2,81070,Y,41-45,251-300,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,2,2,63120,N,26-30,51-100,low
MALE,-39700,Vehicle Theft,?,Trivial Damage,None,17,1,2,1,7200,N,26-30,0-50,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,2,3,70290,Y,46-50,301-350,medium
MALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,1,0,60190,Y,41-45,251-300,high
MALE,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,18,1,1,2,61380,Y,41-45,251-300,high
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,2,2,28100,N,46-50,301-350,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,19,1,0,0,49060,Y,46-50,301-350,low
MALE,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,1,1,57060,N,46-50,351-400,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,3,0,3,77880,N,36-40,251-300,medium
MALE,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,1,0,1,73500,N,41-45,251-300,medium
FEMALE,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,2,2,2,0,88920,Y,51-55,351-400,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Major Damage,Other,2,1,0,2,47630,Y,51-55,351-400,medium
FEMALE,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,1,3,59040,N,51-55,351-400,high
FEMALE,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,2,1,0,3,79530,N,36-40,151-200,very high
FEMALE,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,18,1,0,2,53680,N,31-35,151-200,medium
MALE,-55000,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,2,3,33550,N,46-50,301-350,medium
FEMALE,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,2,1,69100,N,41-45,201-250,medium
MALE,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,2,0,79750,Y,31-35,151-200,medium
